1,Azure 3,Darkolivegreen,Ivoryblack,Gray 75,Sgi Gray 16,Gray 45
2,Burlywood 3,Navajowhite 4,Darkslategray,Bisque 2,Snow 4,Slategray 4
3,Gray 30,Gray 20,Sgi Brightgray,Darkolivegreen,Lightsteelblue,Gray 20
4,Peacock,Tan 4,Gray 10,Burlywood 3,Gray 70,Ivoryblack
5,Lightsteelblue,Aquamarine 2,Burlywood 4,Mediumseagreen,Darkslategray,Peachpuff 3
6,Gainsboro,Silver,Gainsboro,Gray 30,Gray 25,Gray 70
7,Gray 60,Ivory 2,Darkkhaki,Tan 4,Gray 70,Ivory 3
8,Gray 99,Gray 20,Antiquewhite 2,Darkolivegreen 4,Gray 25,Navajowhite 3
9,Gray 95,Violetred 4,Peachpuff 2,Gray 10,Ivoryblack,Aquamarine 4
10,Bisque 2,Palevioletred 2,Sienna,Sgi Gray 16,Sgi Teal,Lightseagreen
11,Antiquewhite 3,Sgi Darkgray,Gray 30,Gray 20,Honeydew 2,Gray 40
12,Ivory 3,Brick,Sepia,Gray 85,Black,Burlywood
13,Seashell 2,Sepia,Gray 65,Gray 10,Gray 25,Ivoryblack
14,Azure 2,Peachpuff 3,Sepia,Crimson,Lightgrey,Darkolivegreen
15,Lightyellow 3,Darkolivegreen,Sgi Olivedrab,Gray 20,Gray 5,Khaki 4
16,Lightgrey,Gray 95,Gray 95,Gray 99,Rawsienna,Gray 95
17,Gray 5,Skyblue 2,Warmgrey,Gray 10,Gray 15,Lightyellow 4
18,Burlywood,Cornsilk 2,Rosybrown,Antiquewhite 3,Gray 95,Navajowhite 4
19,Antiquewhite 3,Darkolivegreen 4,Lightsalmon 3,Lightgrey,Palegreen 4,Gainsboro
20,Darkseagreen,Rosybrown,Mintcream,Gray 15,Plum 3,Sapgreen
21,Ivoryblack,Gray 70,Sgi Gray 76,Gainsboro,Gray 70,Seashell 3
22,Gray 65,Gray 75,Ivoryblack,Gray 25,Gray 25,Lightcyan 3
23,Burlywood 3,Lavender,Darkolivegreen,Wheat,Sgi Brightgray,Gray 90
24,Gray 85,Salmon 4,Lightyellow 3,Gray 90,Gray 20,Lightpink 2
25,Sgi Lightgray,Lightgrey,Lightyellow 2,Darkolivegreen,Gainsboro,Darkolivegreen 3
26,Gray 85,Peachpuff 4,Rosybrown 3,Antiquewhite 2,Gray 20,Sepia
27,Ivory 2,Pink 3,Lightcyan 2,Red 2,Steelblue 4,Peru
28,Cadmiumorange,Peru,Sienna 4,Peachpuff 3,Gray 25,Gray 10
29,Bisque 3,Darkolivegreen,Lightpink 3,Rosybrown,Lightgrey,Antiquewhite 2
30,Azure 2,Sgi Slateblue,Lightgrey,Darkslategray,Gray 20,Antiquewhite 2
31,Darkslategray,Gray 60,Gray 20,Lightsalmon 4,Pink 4,Peachpuff 3
32,Silver,Gray 20,Gray 65,Ivoryblack,Silver,Gray 25
33,Gray 60,Sgi Brightgray,Warmgrey,Gray 50,Snow 3,Azure 3
34,Lightpink 2,Lightcyan 4,Darkolivegreen,Gray 40,Sienna,Gray 20
35,Snow 2,Lightsalmon 3,White Smoke 2,Coral 4,Aquamarine 4,Antiquewhite 2
36,Gray 75,Lightgrey,Gray 20,Gray 80,Sgi Gray 16,Gray 5
37,Lightsalmon 4,Gray 10,Gray 40,Navajowhite 4,Gray 20,Bisque 3
38,Bisque 2,Lightsalmon 4,White Smoke 2,Rosybrown 2,Darkolivegreen 4,Gray 90
39,Seashell 2,Burlywood 3,Darkolivegreen,Navajowhite 4,Silver,Darkolivegreen
40,Darkolivegreen 4,Mistyrose 4,Rosybrown,Gray 20,Gray 80,Lightsalmon 4
41,Gray 90,Sgi Lightgray,Gray 85,Thistle 4,Sgi Darkgray,Gray 65
42,Bisque 2,Gray 5,Burlywood 4,Burlywood 3,Lightslategray,Sepia
43,Gray 20,Sgi Gray 36,Gray 20,Khaki 4,Lightyellow 4,Sgi Gray 36
44,Mistyrose 3,Ivoryblack,Antiquewhite 4,Gray 25,Gray 45,Lightskyblue 4
45,Navajowhite 4,Lightcyan 3,Ivory 3,Gray 20,Gray 75,Khaki 4
46,Lightgrey,Gray 70,Gainsboro,Gray 30,Gray 20,Sgi Gray 16
47,Gray 60,Ivoryblack,Sepia,Cornsilk 3,Gray 70,Lightgoldenrod 4
48,Darkolivegreen 4,Brown 4,Tan 4,Ivoryblack,Darkslategray,Burlywood 3
49,Rosybrown,Lightsteelblue,Gray 45,Rosybrown 4,Gray 30,Midnightblue
50,Tan 4,Sgi Brightgray,Darkkhaki,Ivoryblack,Gray 30,Burlywood 2
51,Gray 5,Gray 20,Cornsilk 2,Gray 40,Gray 15,Lightsalmon 3
52,Palevioletred,Crimson,Ivoryblack,Wheat 4,Gray 25,Lavenderblush
53,Gray 99,Mistyrose 2,Bisque 2,Khaki 3,Gray 35,Lightpink 3
54,Gainsboro,Bisque 3,Gray 80,Gray 65,Gray 60,Navajowhite 4
